place,year,mass_g,longitude,latitude,fell_found,Include
Y-791521,1979,2.82,35.66667,-71.5,Found,0
Y-792347,1979,2.82,35.66667,-71.5,Found,0
Y-86209,1986,2.82,35.66667,-71.5,Found,0
A-87066,1987,2.82,26,-72,Found,0
A-87103,1987,2.82,26,-72,Found,0
GRV 054346,2006,2.82,75.33278,-72.77639,Found,0
Y-74329,1974,2.81,35.66667,-71.5,Found,0
Y-791305,1979,2.81,35.66667,-71.5,Found,0
Y-86737,1986,2.81,35.66667,-71.5,Found,0
A-881656,1988,2.81,26,-72,Found,0
Gunnadorah 003,1994,2.81,126.22183,-30.49967,Found,0
QUE 99422,1999,2.81,168,-84,Found,0
GRV 051657,2006,2.81,75.32972,-72.77972,Found,0
GRV 052108,2006,2.81,75.32722,-72.78028,Found,0
Y-75068,1975,2.8,35.66667,-71.5,Found,0
Y-790351,1979,2.8,35.66667,-71.5,Found,0
Y-792946,1979,2.8,35.66667,-71.5,Found,0
Y-793319,1979,2.8,35.66667,-71.5,Found,0
Y-792273,1979,2.8,35.66667,-71.5,Found,0
Y-792274,1979,2.8,35.66667,-71.5,Found,0
ALHA81205,1981,2.8,159.38611,-76.695,Found,0
ALH 84036,1984,2.8,156.83534,-76.89532,Found,0
LEW 85344,1985,2.8,161.38781,-84.27707,Found,0
Y-86441,1986,2.8,35.66667,-71.5,Found,0
LEW 87052,1987,2.8,161.4806,-84.25388,Found,0
LEW 88608,1988,2.8,161.41655,-84.26959,Found,0
LEW 88625,1988,2.8,161.45559,-84.25272,Found,0
LEW 88669,1988,2.8,161.40602,-84.27683,Found,0
LEW 88598,1988,2.8,161.40173,-84.25299,Found,0
LEW 88701,1988,2.8,161.4087,-84.27674,Found,0
A-880141,1988,2.8,26,-72,Found,0
FRO 90125,1990,2.8,160.47328,-72.95488,Found,0
EET 90718,1990,2.8,156.45029,-76.26702,Found,0
EET 90264,1990,2.8,156.48928,-76.27311,Found,0
EET 90988,1990,2.8,156.43844,-76.26811,Found,0
PCA 91147,1991,2.8,-69.05236,-85.67645,Found,0
PAT 91541,1991,2.8,-61.99592,-84.55657,Found,0
PCA 91243,1991,2.8,-68.82337,-85.6863,Found,0
PCA 91325,1991,2.8,-68.75488,-85.68174,Found,0
QUE 93383,1993,2.8,168,-84,Found,0
QUE 93359,1993,2.8,168,-84,Found,0
QUE 93382,1993,2.8,168,-84,Found,0
QUE 93416,1993,2.8,168,-84,Found,0
LEW 93879,1993,2.8,161.37197,-84.27613,Found,0
QUE 94508,1994,2.8,168,-84,Found,0
QUE 94396,1994,2.8,168,-84,Found,0
QUE 94257,1994,2.8,168,-84,Found,0
QUE 94392,1994,2.8,168,-84,Found,0
QUE 94334,1994,2.8,168,-84,Found,0
QUE 94462,1994,2.8,168,-84,Found,0
QUE 94507,1994,2.8,168,-84,Found,0
QUE 94725,1994,2.8,168,-84,Found,0
QUE 94726,1994,2.8,168,-84,Found,0
QUE 94746,1994,2.8,168,-84,Found,0
FRO 95038,1995,2.8,160.40889,-72.98917,Found,0
QUE 97621,1997,2.8,168,-84,Found,0
QUE 97381,1997,2.8,168,-84,Found,0
QUE 97176,1997,2.8,168,-84,Found,0
QUE 97258,1997,2.8,168,-84,Found,0
QUE 97259,1997,2.8,168,-84,Found,0
QUE 97273,1997,2.8,168,-84,Found,0
QUE 97382,1997,2.8,168,-84,Found,0
QUE 97488,1997,2.8,168,-84,Found,0
QUE 97869,1997,2.8,168,-84,Found,0
QUE 99520,1999,2.8,168,-84,Found,0
QUE 99645,1999,2.8,168,-84,Found,0
QUE 99151,1999,2.8,168,-84,Found,0
QUE 99261,1999,2.8,168,-84,Found,0
QUE 99284,1999,2.8,168,-84,Found,0
QUE 99592,1999,2.8,168,-84,Found,0
QUE 99795,1999,2.8,168,-84,Found,0
QUE 99856,1999,2.8,168,-84,Found,0
GRV 053999,2006,2.8,75.28028,-72.78444,Found,0
GRV 052896,2006,2.8,75.3536,-72.82528,Found,0
GRV 053584,2006,2.8,75.3003,-72.7825,Found,0
Shiï¿½ï¿½r 131,2007,2.8,53.99282,18.25838,Found,0
Y-74196,1974,2.79,35.66667,-71.5,Found,0
Y-791713,1979,2.79,35.66667,-71.5,Found,0
Y-790709,1979,2.79,35.66667,-71.5,Found,0
Y-792244,1979,2.79,35.66667,-71.5,Found,0
Y-86128,1986,2.79,35.66667,-71.5,Found,0
A-880374,1988,2.79,26,-72,Found,0
GRV 053653,2006,2.79,75.29694,-72.785,Found,0
GRV 052357,2006,2.79,75.29889,-72.78278,Found,0
GRV 050123,2006,2.79,75.25889,-72.98444,Found,0
Y-793441,1979,2.78,35.66667,-71.5,Found,0
Y-792587,1979,2.78,35.66667,-71.5,Found,0
Y-792610,1979,2.78,35.66667,-71.5,Found,0
Y-791792,1979,2.78,35.66667,-71.5,Found,0
Y-791357,1979,2.78,35.66667,-71.5,Found,0
Y-790714,1979,2.78,35.66667,-71.5,Found,0
Y-790203,1979,2.78,35.66667,-71.5,Found,0
Y-792211,1979,2.78,35.66667,-71.5,Found,0
Y-81099,1981,2.78,35.66667,-71.5,Found,0
RC 093,1994,2.78,-103.5,34.08333,Found,0
MET 00828,2000,2.78,155.75,-79.68333,Found,0
GRV 054607,2006,2.78,75.18722,-72.99889,Found,0
Y-791291,1979,2.77,35.66667,-71.5,Found,0
Y-790374,1979,2.77,35.66667,-71.5,Found,0
ALH 88144,1988,2.77,159.33333,-76.71667,Found,0
A-880013,1988,2.77,26,-72,Found,0
GRV 051801,2006,2.77,75.32333,-72.78028,Found,0
GRV 052399,2006,2.77,75.27167,-72.78389,Found,0
Y-790243,1979,2.76,35.66667,-71.5,Found,0
Y-790492,1979,2.76,35.66667,-71.5,Found,0
Y-792213,1979,2.76,35.66667,-71.5,Found,0
Y-792308,1979,2.76,35.66667,-71.5,Found,0
Y-792317,1979,2.76,35.66667,-71.5,Found,0
Y-792318,1979,2.76,35.66667,-71.5,Found,0
Y-8433,1984,2.76,35.66667,-71.5,Found,0
Y-86147,1986,2.76,35.66667,-71.5,Found,0
Y-86593,1986,2.76,35.66667,-71.5,Found,0
A-87026,1987,2.76,26,-72,Found,0
ALH 88149,1988,2.76,159.15038,-76.71086,Found,0
A-880423,1988,2.76,26,-72,Found,0
Y-74215,1974,2.75,35.66667,-71.5,Found,0
Y-75066,1975,2.75,35.66667,-71.5,Found,0
Y-790027,1979,2.75,35.66667,-71.5,Found,0
Y-790029,1979,2.75,35.66667,-71.5,Found,0
Y-792281,1979,2.75,35.66667,-71.5,Found,0
Y-75156,1975,2.74,35.66667,-71.5,Found,0
Y-75224,1975,2.74,35.66667,-71.5,Found,0
Y-791358,1979,2.74,35.66667,-71.5,Found,0
Y-791290,1979,2.74,35.66667,-71.5,Found,0
Y-793458,1979,2.74,35.66667,-71.5,Found,0
Y-792890,1979,2.74,35.66667,-71.5,Found,0
SuV 018,2002,2.74,-117.03945,35.23667,Found,0
SuV 013,2002,2.74,-117.03945,35.23333,Found,0
RdDL 072,2011,2.74,-114.03579,35.63797,Found,0
Y-792648,1979,2.73,35.66667,-71.5,Found,0
Y-792649,1979,2.73,35.66667,-71.5,Found,0
A-880314,1988,2.73,26,-72,Found,0
A-880571,1988,2.73,26,-72,Found,0
MET 01086,2001,2.73,155.75,-79.68333,Found,0
Y-75094,1975,2.72,35.66667,-71.5,Found,0
Y-75220,1975,2.72,35.66667,-71.5,Found,0
ALHA78260,1977,2.72,159.66667,-76.71667,Found,0
Y-792619,1979,2.72,35.66667,-71.5,Found,0
Y-793304,1979,2.72,35.66667,-71.5,Found,0
A-881520,1988,2.72,26,-72,Found,0
GRV 020014,2002,2.72,75.17139,-73.105,Found,0
Dho 1073,,2.72,54.78217,19.33302,Found,0
Y-792710,1979,2.71,35.66667,-71.5,Found,0
Y-791183,1979,2.71,35.66667,-71.5,Found,0
Y-86427,1986,2.71,35.66667,-71.5,Found,0
ALH 88145,1988,2.71,159.33333,-76.71667,Found,0
A-882050,1988,2.71,26,-72,Found,0
FRO 03016,2003,2.71,160.52183,-72.95233,Found,0
LV 024,2003,2.71,-116.9471,34.49553,Found,0
Nurina 001,1973,2.7,126.4,-30.66667,Found,0
Y-74637,1974,2.7,35.66667,0,Found,0
Y-75095,1975,2.7,35.66667,-71.5,Found,0
ALHA77202,1977,2.7,159.66667,-76.71667,Found,0
ALHA78247,1978,2.7,159.66667,-76.71667,Found,0
Y-792606,1979,2.7,35.66667,-71.5,Found,0
Y-792895,1979,2.7,35.66667,-71.5,Found,0
ALHA79031,1979,2.7,159.39306,-76.70306,Found,0
Y-794022,1979,2.7,35.66667,-71.5,Found,0
Y-790405,1979,2.7,35.66667,-71.5,Found,0
ALH 83043,1983,2.7,158.21505,-76.82199,Found,0
ALH 83027,1983,2.7,158.215,-76.82234,Found,0
ALH 84217,1984,2.7,156.91357,-77.0203,Found,0
ALH 85106,1985,2.7,156.53479,-76.91052,Found,0
LEW 85439,1985,2.7,161.36321,-84.28082,Found,0
Y-86141,1986,2.7,35.66667,-71.5,Found,0
Y-86423,1986,2.7,35.66667,-71.5,Found,0
LEW 86130,1986,2.7,161.41322,-84.25862,Found,0
LEW 86359,1986,2.7,161.41847,-84.26965,Found,0
LEW 88571,1988,2.7,161.44914,-84.25124,Found,0
LEW 88622,1988,2.7,161.42221,-84.27013,Found,0
LEW 88674,1988,2.7,161.40549,-84.2724,Found,0
LEW 88734,1988,2.7,161.36173,-84.28433,Found,0
LEW 88268,1988,2.7,161.50106,-84.23801,Found,0
LEW 88591,1988,2.7,161.40597,-84.25022,Found,0
LEW 88754,1988,2.7,161.4876,-84.23507,Found,0
LEW 88799,1988,2.7,161.44866,-84.24076,Found,0
LEW 88695,1988,2.7,161.40438,-84.27139,Found,0
LEW 88606,1988,2.7,161.40034,-84.27551,Found,0
A-880629,1988,2.7,26,-72,Found,0
A-881184,1988,2.7,26,-72,Found,0
FRO 90023,1990,2.7,160.47328,-72.95488,Found,0
EET 90586,1990,2.7,156.47199,-76.28202,Found,0
EET 90344,1990,2.7,156.45298,-76.28295,Found,0
PCA 91139,1991,2.7,-69.0354,-85.67646,Found,0
PCA 91409,1991,2.7,-68.82044,-85.69865,Found,0
QUE 93006,1993,2.7,162.56943,-84.57594,Found,0
QUE 93481,1993,2.7,168,-84,Found,0
QUE 93091,1993,2.7,162.564,-84.57564,Found,0
QUE 93090,1993,2.7,162.52676,-84.63017,Found,0
QUE 93315,1993,2.7,162.49958,-84.57338,Found,0
QUE 93326,1993,2.7,162.24087,-84.5914,Found,0
LEW 93858,1993,2.7,161.41307,-84.27239,Found,0
QUE 93599,1993,2.7,168,-84,Found,0
QUE 93092,1993,2.7,162.56647,-84.57572,Found,0
QUE 94669,1994,2.7,168,-84,Found,0
QUE 94701,1994,2.7,168,-84,Found,0
QUE 94438,1994,2.7,168,-84,Found,0
QUE 94541,1994,2.7,168,-84,Found,0
GRA 95225,1995,2.7,-141.5,-86.71667,Found,0
EET 96223,1996,2.7,157.16667,-76.18333,Found,0
EET 96344,1996,2.7,157.16667,-76.18333,Found,0
QUE 97632,1997,2.7,168,-84,Found,0
QUE 97109,1997,2.7,168,-84,Found,0
QUE 97379,1997,2.7,168,-84,Found,0
QUE 97631,1997,2.7,168,-84,Found,0
QUE 97951,1997,2.7,168,-84,Found,0
GRA 98136,1998,2.7,-141.5,-86.71667,Found,0
GEO 99125,1999,2.7,155.5,-82.5,Found,0
QUE 99135,1999,2.7,168,-84,Found,0
QUE 99272,1999,2.7,168,-84,Found,0
QUE 99296,1999,2.7,168,-84,Found,0
QUE 99343,1999,2.7,168,-84,Found,0
QUE 99499,1999,2.7,168,-84,Found,0
QUE 99725,1999,2.7,168,-84,Found,0
QUE 99726,1999,2.7,168,-84,Found,0
QUE 99798,1999,2.7,168,-84,Found,0
QUE 99803,1999,2.7,168,-84,Found,0
FRO 01026,2001,2.7,160.40556,-72.98889,Found,0
PCA 01003,2002,2.7,-68.80617,-85.68527,Found,0
CdDL 026,2008,2.7,-117.45657,35.30333,Found,0
FRO 10002,2011,2.7,160.47965,-72.9529,Found,0
Y-74321,1974,2.69,35.66667,-71.5,Found,0
Y-792980,1979,2.69,35.66667,-71.5,Found,0
Y-791298,1979,2.69,35.66667,-71.5,Found,0
Y-792604,1979,2.69,35.66667,-71.5,Found,0
Y-791894,1979,2.69,35.66667,-71.5,Found,0
A-880023,1988,2.69,26,-72,Found,0
FRO 90237,1990,2.69,160.44444,-72.95472,Found,0
GRV 020023,2002,2.69,75.20833,-73.08583,Found,0
ALHA78030,1977,2.68,159.66667,-76.71667,Found,0
Y-792968,1979,2.68,35.66667,-71.5,Found,0
Y-790099,1979,2.68,35.66667,-71.5,Found,0
Y-791288,1979,2.68,35.66667,-71.5,Found,0
Y-792605,1979,2.68,35.66667,-71.5,Found,0
Y-791689,1979,2.68,35.66667,-71.5,Found,0
Y-790026,1979,2.68,35.66667,-71.5,Found,0
Y-792219,1979,2.68,35.66667,-71.5,Found,0
Y-82139,1982,2.68,35.66667,-71.5,Found,0
A-880458,1988,2.68,26,-72,Found,0
A-881316,1988,2.68,26,-72,Found,0
Y-791279,1979,2.67,35.66667,-71.5,Found,0
Y-791175,1979,2.67,35.66667,-71.5,Found,0
Y-86592,1986,2.67,35.66667,-71.5,Found,0
A-87064,1987,2.67,26,-72,Found,0
Y-791287,1979,2.66,35.66667,-71.5,Found,0
A-880221,1988,2.66,26,-72,Found,0
FRO 90189,1990,2.66,160.44282,-72.95364,Found,0
FRO 93011,1993,2.66,160.40778,-72.98972,Found,0
ALHA77065,1977,2.65,159.66667,-76.71667,Found,0
Y-792967,1979,2.65,35.66667,-71.5,Found,0
Y-86521,1986,2.65,35.66667,-71.5,Found,0
ALH 88147,1988,2.65,159.33333,-76.71667,Found,0
GRV 020217,2003,2.65,75.206389,-72.9925,Found,0
FRO 03015,2003,2.65,160.52081,-72.95217,Found,0
GRV 020156,2003,2.65,75.26806,-72.97722,Found,0
GRV 021737,2003,2.65,75.300833,-72.789167,Found,0
Y-790042,1979,2.64,35.66667,-71.5,Found,0
Y-791673,1979,2.64,35.66667,-71.5,Found,0
Y-790219,1979,2.64,35.66667,-71.5,Found,0
Y-790710,1979,2.64,35.66667,-71.5,Found,0
Y-790759,1979,2.64,35.66667,-71.5,Found,0
Y-81112,1981,2.64,35.66667,-71.5,Found,0
Y-86541,1986,2.64,35.66667,-71.5,Found,0
ALH 88143,1988,2.64,159.33333,-76.71667,Found,0
A-880125,1988,2.64,26,-72,Found,0
A-880457,1988,2.64,26,-72,Found,0
A-880525,1988,2.64,26,-72,Found,0
A-881349,1988,2.64,26,-72,Found,0
Y-75007,1975,2.63,35.66667,-71.5,Found,0
Y-790015,1979,2.63,35.66667,-71.5,Found,0
Y-792277,1979,2.63,35.66667,-71.5,Found,0
Y-86453,1986,2.63,35.66667,-71.5,Found,0
A-880029,1988,2.63,26,-72,Found,0
A-880170,1988,2.63,26,-72,Found,0
GRV 021179,2003,2.63,75.246667,-72.983889,Found,0
GRV 022011,2003,2.63,75.345278,-72.780556,Found,0
Y-74260,1974,2.62,35.66667,-71.5,Found,0
Y-75149,1975,2.62,35.66667,-71.5,Found,0
ALHA78093,1977,2.62,159.66667,-76.71667,Found,0
Y-791278,1979,2.62,35.66667,-71.5,Found,0
Y-793555,1979,2.62,35.66667,-71.5,Found,0
Y-86144,1986,2.62,35.66667,-71.5,Found,0
Y-86572,1986,2.62,35.66667,-71.5,Found,0
A-881825,1988,2.62,26,-72,Found,0
GRV 020173,2003,2.62,75.26389,-72.97639,Found,0
GRV 022254,2003,2.62,75.311111,-72.778889,Found,0
GRV 022462,2003,2.62,75.32694,-72.77389,Found,0
GRV 053093,2006,2.62,75.315556,-72.779167,Found,0
GRV 052834,2006,2.62,75.216389,-72.964722,Found,0
Y-74258,1974,2.61,35.66667,-71.5,Found,0
Y-792711,1979,2.61,35.66667,-71.5,Found,0
Y-790683,1979,2.61,35.66667,-71.5,Found,0
Y-791133,1979,2.61,35.66667,-71.5,Found,0
Y-81080,1981,2.61,35.66667,-71.5,Found,0
FRO 93019,1993,2.61,160.43778,-72.98167,Found,0
MET 00729,2000,2.61,155.75,-79.68333,Found,0
GRV 022559,2003,2.61,75.343056,-72.773889,Found,0
GRV 051793,2006,2.61,75.335833,-72.778056,Found,0
GRV 053617,2006,2.61,75.310556,-72.779167,Found,0
Y-74382,1974,2.6,35.66667,0,Found,0
Y-75303,1975,2.6,35.66667,-71.5,Found,0
Y-791292,1979,2.6,35.66667,-71.5,Found,0
Y-792591,1979,2.6,35.66667,-71.5,Found,0
Y-792650,1979,2.6,35.66667,-71.5,Found,0
ALHA79032,1979,2.6,159.39278,-76.70306,Found,0
ALHA81189,1981,2.6,159.275,-76.72333,Found,0
ALH 83019,1983,2.6,158.24188,-76.82229,Found,0
Y-8305,1983,2.6,35.66667,-71.5,Found,0
ALH 84258,1984,2.6,156.8297,-76.9061,Found,0
LEW 86394,1986,2.6,161.40302,-84.2546,Found,0
Y-86057,1986,2.6,35.66667,-71.5,Found,0
LEW 86386,1986,2.6,161.42898,-84.25503,Found,0
LEW 87010,1987,2.6,161.40075,-84.34037,Found,0
LEW 87280,1987,2.6,161.7124,-84.27289,Found,0
LEW 87096,1987,2.6,161.41295,-84.34494,Found,0
LEW 87070,1987,2.6,161.43314,-84.25501,Found,0
LEW 87094,1987,2.6,161.40309,-84.34026,Found,0
LEW 88611,1988,2.6,161.41802,-84.27043,Found,0
LEW 88664,1988,2.6,161.41638,-84.27123,Found,0
LEW 88784,1988,2.6,161.49372,-84.23741,Found,0
LEW 88536,1988,2.6,161.4443,-84.25112,Found,0
A-880362,1988,2.6,26,-72,Found,0
EET 90813,1990,2.6,156.44991,-76.28631,Found,0
EET 90434,1990,2.6,156.38615,-76.27494,Found,0
PCA 91398,1991,2.6,-68.7591,-85.67129,Found,0
PCA 91444,1991,2.6,-68.63396,-85.65804,Found,0
PCA 91273,1991,2.6,-69.09783,-85.69012,Found,0
QUE 93624,1993,2.6,168,-84,Found,0
QUE 93106,1993,2.6,162.56253,-84.57578,Found,0
LEW 93812,1993,2.6,161.68359,-84.27386,Found,0
LEW 93846,1993,2.6,161.68329,-84.27394,Found,0
QUE 93108,1993,2.6,162.05386,-84.56761,Found,0
QUE 93002,1993,2.6,162.56758,-84.5756,Found,0
QUE 93126,1993,2.6,162.56411,-84.576,Found,0
QUE 94220,1994,2.6,168,-84,Found,0
QUE 94412,1994,2.6,168,-84,Found,0
QUE 94610,1994,2.6,168,-84,Found,0
QUE 94405,1994,2.6,168,-84,Found,0
QUE 94311,1994,2.6,168,-84,Found,0
QUE 94364,1994,2.6,168,-84,Found,0
EET 96168,1996,2.6,157.16667,-76.18333,Found,0
EET 96296,1996,2.6,157.16667,-76.18333,Found,0
EET 96078,1996,2.6,157.16667,-76.18333,Found,0
EET 96207,1996,2.6,157.16667,-76.18333,Found,0
FRO 97042,1997,2.6,160.40667,-72.98972,Found,0
QUE 97438,1997,2.6,168,-84,Found,0
QUE 97506,1997,2.6,168,-84,Found,0
QUE 97644,1997,2.6,168,-84,Found,0
QUE 97740,1997,2.6,168,-84,Found,0
QUE 97885,1997,2.6,168,-84,Found,0
QUE 99483,1999,2.6,168,-84,Found,0
GEO 99123,1999,2.6,155.5,-82.5,Found,0
QUE 99484,1999,2.6,168,-84,Found,0
QUE 99060,1999,2.6,168,-84,Found,0
QUE 99061,1999,2.6,168,-84,Found,0
QUE 99515,1999,2.6,168,-84,Found,0
QUE 99661,1999,2.6,168,-84,Found,0
FRO 01035,2001,2.6,160.40528,-72.98889,Found,0
FRO 01007,2001,2.6,160.50944,-72.95194,Found,0
PCA 02011,2002,2.6,-68.7,-85.63333,Found,0
MAC 02610,2002,2.6,160.5,-84.21667,Found,0
GRV 021936,2003,2.6,75.32,-72.776389,Found,0
SaU 286,2004,2.6,57.32363,21.00295,Found,0
GRV 050006,2006,2.6,75.164444,-73.113333,Found,0
GRV 054646,2006,2.6,75.326944,-72.773889,Found,0
GRV 052361,2006,2.6,75.298889,-72.782778,Found,0
LV 089,2007,2.6,-116.98128,34.48972,Found,0
TVH 006,2007,2.6,-113.36658,38.97353,Found,0
Watson 003,2008,2.6,131.55,-30.48333,Found,0
FRO 10018,2011,2.6,160.4872,-72.95205,Found,0
Y-790092,1979,2.59,35.66667,-71.5,Found,0
Y-792729,1979,2.59,35.66667,-71.5,Found,0
Y-792324,1979,2.59,35.66667,-71.5,Found,0
Y-86129,1986,2.59,35.66667,-71.5,Found,0
Y-86401,1986,2.59,35.66667,-71.5,Found,0
Y-86045,1986,2.59,35.66667,-71.5,Found,0
A-880483,1988,2.59,26,-72,Found,0
MAC 02647,2002,2.59,160.5,-84.21667,Found,0
GRV 021738,2003,2.59,75.303889,-72.788056,Found,0
GRV 021689,2003,2.59,75.345556,-72.774444,Found,0
GRV 022497,2003,2.59,75.329444,-72.775556,Found,0
GRV 020101,2003,2.59,75.20444,-72.99417,Found,0
GRV 052702,2006,2.59,75.29889,-72.7825,Found,0
GRV 051658,2006,2.59,75.321111,-72.778611,Found,0
GRV 054625,2006,2.59,75.187222,-72.998889,Found,0
GRV 053703,2006,2.59,75.283056,-72.788611,Found,0
Y-791309,1979,2.58,35.66667,-71.5,Found,0
Y-790676,1979,2.58,35.66667,-71.5,Found,0
Y-790914,1979,2.58,35.66667,-71.5,Found,0
Y-81125,1981,2.58,35.66667,-71.5,Found,0
A-87302,1987,2.58,26,-72,Found,0
A-880192,1988,2.58,26,-72,Found,0
FRO 90222,1990,2.58,160.43857,-72.95578,Found,0
Camel Donga 025,1994,2.58,126.88533,-30.09867,Found,0
MAC 02641,2002,2.58,160.5,-84.21667,Found,0
GRV 021735,2003,2.58,75.2975,-72.78889,Found,0
GRV 021662,2003,2.58,75.33361,-72.77389,Found,0
GRV 022392,2003,2.58,75.32361,-72.77472,Found,0
GRV 050009,2006,2.58,75.193333,-73.092222,Found,0
GRV 052888,2006,2.58,75.35361,-72.82528,Found,0
Y-792969,1979,2.57,35.66667,-71.5,Found,0
Y-792624,1979,2.57,35.66667,-71.5,Found,0
Y-792270,1979,2.57,35.66667,-71.5,Found,0
Y-792345,1979,2.57,35.66667,-71.5,Found,0
Y-86138,1986,2.57,35.66667,-71.5,Found,0
Y-86428,1986,2.57,35.66667,-71.5,Found,0
Y-86495,1986,2.57,35.66667,-71.5,Found,0
Y-86723,1986,2.57,35.66667,-71.5,Found,0
FRO 90197,1990,2.57,160.45233,-72.95563,Found,0
MAC 02472,2002,2.57,160.5,-84.21667,Found,0
GRV 021980,2003,2.57,75.34333,-72.77389,Found,0
Y-790173,1979,2.56,35.66667,-71.5,Found,0
Y-792311,1979,2.56,35.66667,-71.5,Found,0
Y-792838,1979,2.56,35.66667,-71.5,Found,0
Y-792888,1979,2.56,35.66667,-71.5,Found,0
Y-792908,1979,2.56,35.66667,-71.5,Found,0
Y-86728,1986,2.56,35.66667,-71.5,Found,0
LAP 02427,2002,2.56,-70,-86.36667,Found,0
GRV 020020,2002,2.56,75.23417,-73.08611,Found,0
GRV 021774,2003,2.56,75.33139,-72.77444,Found,0
GRV 052935,2006,2.56,75.29972,-72.77833,Found,0
Y-74284,1974,2.55,35.66667,-71.5,Found,0
ALHA78016,1977,2.55,159.66667,-76.71667,Found,0
Y-791789,1979,2.55,35.66667,-71.5,Found,0
Y-792307,1979,2.55,35.66667,-71.5,Found,0
Y-86419,1986,2.55,35.66667,-71.5,Found,0
Y-86491,1986,2.55,35.66667,-71.5,Found,0
A-87048,1987,2.55,26,-72,Found,0
A-880226,1988,2.55,26,-72,Found,0
A-880467,1988,2.55,26,-72,Found,0
Y-9406,1994,2.55,35.40194,-71.54694,Found,0
GRV 99006,2000,2.55,75.2,-73.08333,Found,0
FRO 03033,2003,2.55,160.50939,-72.95203,Found,0
GRV 022099,2003,2.55,75.31056,-72.77917,Found,0
GRV 053477,2006,2.55,75.27028,-72.78778,Found,0
Y-75048,1975,2.54,35.66667,-71.5,Found,0
ALHA78091,1977,2.54,159.66667,-76.71667,Found,0
Y-792313,1979,2.54,35.66667,-71.5,Found,0
Y-792357,1979,2.54,35.66667,-71.5,Found,0
Y-81001,1981,2.54,35.5,-71.83333,Found,0
A-880898,1988,2.54,26,-72,Found,0
Y-792930,1979,2.53,35.66667,-71.5,Found,0
Y-792330,1979,2.53,35.66667,-71.5,Found,0
FRO 90170,1990,2.53,160.47328,-72.95488,Found,0
MAC 02482,2002,2.53,160.5,-84.21667,Found,0
GRV 022260,2003,2.53,75.31111,-72.77889,Found,0
GRV 020058,2003,2.53,75.20556,-72.99444,Found,0
GRV 022406,2003,2.53,75.3225,-72.77417,Found,0
GRV 021760,2003,2.53,75.29028,-72.78444,Found,0
GRV 020152,2003,2.53,75.26361,-72.97972,Found,0
GRV 053040,2006,2.53,75.27889,-72.77639,Found,0
GRV 050208,2006,2.53,75.23556,-72.95222,Found,0
GRV 054297,2006,2.53,75.27944,-72.78,Found,0
Y-74184,1974,2.52,35.66667,-71.5,Found,0
ALHA78232,1977,2.52,159.66667,-76.71667,Found,0
Y-790306,1979,2.52,35.66667,-71.5,Found,0
Y-791584,1979,2.52,35.66667,-71.5,Found,0
Y-86143,1986,2.52,35.66667,-71.5,Found,0
Y-86451,1986,2.52,35.66667,-71.5,Found,0
Y-86482,1986,2.52,35.66667,-71.5,Found,0
A-880899,1988,2.52,26,-72,Found,0
SuV 011,2001,2.52,-117.043,35.23617,Found,0
Y-792971,1979,2.51,35.66667,-71.5,Found,0
Y-793197,1979,2.51,35.66667,-71.5,Found,0
Y-791306,1979,2.51,35.66667,-71.5,Found,0
Y-793463,1979,2.51,35.66667,-71.5,Found,0
Y-790245,1979,2.51,35.66667,-71.5,Found,0
Y-790899,1979,2.51,35.66667,-71.5,Found,0
Y-8403,1984,2.51,35.66667,-71.5,Found,0
MET 00636,2000,2.51,155.75,-79.68333,Found,0
FRO 03084,2003,2.51,160.39372,-72.99547,Found,0
GRV 054228,2006,2.51,75.31139,-72.7825,Found,0
GRV 052887,2006,2.51,75.35361,-72.82528,Found,0
GRV 053735,2006,2.51,75.27333,-72.77833,Found,0
GRV 053478,2006,2.51,75.27028,-72.78778,Found,0
Dho 1629,2007,2.51,54.058,18.46,Found,0
Y-74225,1974,2.5,35.66667,-71.5,Found,0
ALHA77096,1977,2.5,159.66667,-76.71667,Found,0
ALHA78035,1978,2.5,159.66667,-76.71667,Found,0
Y-792608,1979,2.5,35.66667,-71.5,Found,0
ALHA81315,1981,2.5,159.36889,-76.68861,Found,0
ALHA81071,1981,2.5,159.33889,-76.68361,Found,0
ALHA81053,1981,2.5,159.35889,-76.68889,Found,0
EET 83334,1983,2.5,157.27278,-76.30194,Found,0
ALH 83037,1983,2.5,158.21503,-76.82235,Found,0
FRO 84024,1984,2.5,160.47328,-72.95488,Found,0
LEW 86495,1986,2.5,161.42405,-84.26733,Found,0
LEW 86097,1986,2.5,161.48632,-84.25744,Found,0
LEW 86421,1986,2.5,161.44472,-84.25555,Found,0
EET 87662,1987,2.5,157.16667,-76.18333,Found,0
A-87013,1987,2.5,26,-72,Found,0
LEW 88553,1988,2.5,161.4456,-84.2452,Found,0
LEW 88231,1988,2.5,161.49176,-84.23589,Found,0
A-880579,1988,2.5,26,-72,Found,0
A-880651,1988,2.5,26,-72,Found,0
EET 90790,1990,2.5,156.44817,-76.28762,Found,0
QUE 93218,1993,2.5,162.02145,-84.57209,Found,0
QUE 93394,1993,2.5,168,-84,Found,0
QUE 93473,1993,2.5,168,-84,Found,0
QUE 93588,1993,2.5,168,-84,Found,0
QUE 93589,1993,2.5,168,-84,Found,0
QUE 93642,1993,2.5,168,-84,Found,0
QUE 93657,1993,2.5,168,-84,Found,0
QUE 93643,1993,2.5,168,-84,Found,0
