place,year,mass_g,longitude,latitude,fell_found,Include
Palmas de Monte Alto,1954,97000,-43.02278,-14.3675,Found,0
DaG 749,1999,95000,15.7645,27.30167,Found,0
Loreto,1896,94800,-111.36667,26.01667,Found,0
Weekeroo Station,1924,94200,139.86667,-32.26667,Found,0
Carver,1935,94000,-86,32,Found,0
Concho,1939,93500,-101.5,32,Found,0
Machinga,1981,93200,35.24222,-15.21222,Fell,0
Watson 001,1972,93000,131.55,-30.5,Found,0
Wiltshire,,92750,-1.81,51.14967,Found,0
JaH 090,2002,92668,56.6062,19.71678,Found,0
Karee Kloof,1914,92100,25.8,-31.6,Found,0
Laguna Manantiales,1945,92000,-67.41667,-48.58333,Found,0
Fair Play,1928,91000,-93.55,37.66667,Found,0
Juvinas,1821,91000,4.3,44.71667,Fell,0
ad-Dahbubah,1961,90000,51.25,19.83333,Found,0
Richardton,1918,90000,-102.31667,46.88333,Fell,0
Mincy,1857,89400,-93.1,36.55,Found,0
Farmington,1890,89400,-97.03333,39.75,Fell,0
Bennett County,1934,89000,-101.25,43.5,Found,0
San Angelo,1897,88000,-100.35,31.41667,Found,0
Mills,1970,88000,-104.11889,36.23,Found,0
Wagon Mound,1932,87500,-104.58583,35.84083,Found,0
Roebourne,1892,86860,118,-22.33333,Found,0
Tulia (a),1917,86000,-101.95,34.61667,Found,0
Bath Furnace,1902,86000,-83.75,38.25,Fell,0
Apoala,1889,85000,-97,17.7,Found,0
Juanita de Angeles,1992,85000,-105.08333,28.41667,Found,0
Kayakent,1961,85000,31.78,39.26333,Fell,0
Gan Gan,1984,83000,-68.08333,-42.66667,Found,0
Bruceville,1998,83000,-121.405,38.295,Found,0
Ness County (1894),1894,82000,-99.6,38.5,Found,0
Gretna,1912,82000,-99.21667,39.93333,Found,0
Renfrow,1986,81600,-97.555,36.98667,Found,0
Carlton,1887,81200,-98.03333,31.91667,Found,0
Ainsworth,1907,80650,-99.8,42.6,Found,0
Unter-Mï¿½_ssing,1920,80000,11.33333,49.09028,Found,0
Vera,1941,80000,-60.28333,-29.91667,Found,0
Baygorria,1994,80000,-56,-33,Found,0
Kernouve,1869,80000,-3.08333,48.11667,Fell,0
Soko-Banja,1877,80000,21.86667,43.66667,Fell,0
Mrirt,1937,79900,-5.56667,33.13333,Found,0
Belle Plaine,1950,78800,-97.25,37.31667,Found,0
Finmarken,1902,78300,24,70,Found,0
Parnallee,1857,77600,78.35,9.23333,Fell,0
Moorumbunna,1943,77000,136.25,-28.91667,Found,0
JaH 230,2005,77000,56.58277,19.7127,Found,0
Augusta County,1858,76000,-79.08333,38.16667,Found,0
Northbranch,1972,76000,-98.34167,39.99167,Found,0
Tawallah Valley,1939,75750,135.66667,-15.7,Found,0
Xingyang,1977,75500,114.31667,32.33333,Fell,0
Acme,1947,75000,-104.26667,33.63333,Found,0
Bayard,1982,75000,-103.36667,41.81667,Found,0
Wolsey,1981,74830,-98.53333,44.4,Found,0
Walker County,1832,74800,-87.16667,34,Found,0
Tilden,1927,74800,-89.68333,38.2,Fell,0
Hunter,1962,74600,-97.66667,36.56,Found,0
Ethiudna,1977,74318,139.78333,-32.03333,Found,0
Toufassour,2007,73300,-7.7493,29.65225,Found,0
Nelson County,1856,73030,-85.5,37.75,Found,0
Uwharrie,1930,72700,-79.96667,35.51667,Found,0
UruaÌ¤u,1992,72500,-48.76667,-14.53333,Found,0
Isoulane-n-Amahar,1945,72000,8.66722,27.12917,Found,0
Mafuta,1984,71500,30.40722,-16.9025,Found,0
Merua,1920,71400,81.98333,25.48333,Fell,0
Portales Valley,1998,71400,-103.295,34.175,Fell,0
Sierra Colorada,1995,71300,-67.48333,-40.8,Found,0
Tlacotepec,1903,71000,-97.55,18.65,Found,0
Wooramel,1969,71000,114.21667,-25.65,Found,0
Smithville,1840,70500,-85.85,35.98333,Found,0
Mahadevpur,2007,70500,95.78333,27.66667,Fell,0
Lahmada 009,1999,70000,-9.5,27.16667,Found,0
PeÌ±a Blanca Spring,1946,70000,-103.11667,30.125,Fell,0
Smithonia,1940,69900,-83.16667,34,Found,0
Landes,1930,69800,-79.18333,38.9,Found,0
Xinyi,1975,69000,118.33333,34.36667,Found,0
Wu-chu-mu-ch'in,1920,68860,118,45.5,Found,0
Kheri Maham,1986,68500,76.32278,28.97083,Fell,0
Burlington,1819,68000,-75.18333,42.75,Found,0
Marlow,1936,68000,-97.91667,34.6,Found,0
Hamilton (Queensland),1966,68000,148.25,-28.48333,Found,0
Soledade,1986,68000,-51.43333,-29.05,Found,0
Springwater,1931,67600,-108.3,52,Found,0
Rahimyar Khan,1983,67225,70.2,28.225,Fell,0
Pervomaisky,1933,66000,39.43333,56.63333,Fell,0
Timochin,1807,65500,35.2,54.5,Fell,0
Sychevka,1988,65000,127.495,51.125,Found,0
Bocaiuva,1965,64000,-43.83333,-17.16667,Found,0
Signal Mountain,1919,63500,-115.5,32.5,Found,0
Santa Clara,1976,63000,-103.35,24.46667,Found,0
DRP 88017,1988,63000,156.38333,-80.06667,Found,0
Treysa,1916,63000,9.18333,50.91667,Fell,0
Tnz 072,2002,62285,0.103,24.43817,Found,0
Thunda,1881,62100,143.05,-25.7,Found,0
Covert,1896,61000,-98.78333,39.2,Found,0
Gold Basin,1995,61000,-114.23333,35.875,Found,0
Hex River Mountains,1882,60000,19.61667,-33.31667,Found,0
Savannah,1923,60000,-88.18333,35.16667,Found,0
Nicolï¿½ï¿½s Levalle,1956,60000,-62.87889,-38.85028,Found,0
DRPA78008,1978,59400,156.38333,-80.06667,Found,0
Bohumilitz,1829,59000,13.76667,49.05,Found,0
Piedade do Bagre,1922,59000,-44.98333,-18.94167,Found,0
Quijingue,1984,59000,-39.21667,-10.75,Found,0
ï¿½ï¿½owicz,1935,59000,19.91667,52,Fell,0
Guadalupe y Calvo,1971,58630,-106.96667,26.1,Found,0
Aliskerovo,1977,58400,167.5,67.88333,Found,0
